Month: 1 | Well_ID: 1 | Groundwater_Level: 10.993428306022466 | Precipitation: 52.50449005295815 | Temperature: 21.391312233313734 | Evapotranspiration: 21.76064513028 | Pumping_Rate: 115.2106081640607 | Land_Use: Urban
Month: 17 | Well_ID: 1 | Groundwater_Level: 9.918213562057778 | Precipitation: 36.53018751512263 | Temperature: 27.757381376197618 | Evapotranspiration: 20.141961913321733 | Pumping_Rate: 139.61242029351502 | Land_Use: Agricultural
Month: 18 | Well_ID: 1 | Groundwater_Level: 12.604785704606462 | Precipitation: 55.57988324447604 | Temperature: 26.702946082002484 | Evapotranspiration: 27.158449020712027 | Pumping_Rate: 73.76693054980245 | Land_Use: Agricultural
Month: 19 | Well_ID: 1 | Groundwater_Level: 10.178941822165687 | Precipitation: 33.293058934804854 | Temperature: 26.95347960464072 | Evapotranspiration: 41.94762861876938 | Pumping_Rate: 118.82818892685493 | Land_Use: Agricultural
Month: 20 | Well_ID: 1 | Groundwater_Level: 9.175235422855167 | Precipitation: 92.90298255546776 | Temperature: 18.367639358444585 | Evapotranspiration: 38.94647187573872 | Pumping_Rate: 91.614776101104 | Land_Use: Natural
Month: 21 | Well_ID: 1 | Groundwater_Level: 14.922113453346638 | Precipitation: 26.248031619409744 | Temperature: 30.23658853310724 | Evapotranspiration: 16.271405485189362 | Pumping_Rate: 95.25083565971009 | Land_Use: Natural
Month: 22 | Well_ID: 1 | Groundwater_Level: 11.516419292774803 | Precipitation: 56.19641420454055 | Temperature: 30.847949962138866 | Evapotranspiration: 33.514799003522015 | Pumping_Rate: 94.48438320522371 | Land_Use: Agricultural
Month: 23 | Well_ID: 1 | Groundwater_Level: 12.066525716890848 | Precipitation: 62.67553761864197 | Temperature: 23.85304627965986 | Evapotranspiration: 10.217747506251897 | Pumping_Rate: 74.62980686517662 | Land_Use: Agricultural
Month: 24 | Well_ID: 1 | Groundwater_Level: 9.032065127898413 | Precipitation: 58.27598194902996 | Temperature: 24.78261525093069 | Evapotranspiration: 30.469349020603698 | Pumping_Rate: 99.57703102279986 | Land_Use: Urban
Month: 25 | Well_ID: 1 | Groundwater_Level: 10.729829404600999 | Precipitation: 46.294246822445835 | Temperature: 17.34446248722139 | Evapotranspiration: 48.97767016745977 | Pumping_Rate: 98.12055333634535 | Land_Use: Urban
Month: 26 | Well_ID: 1 | Groundwater_Level: 11.964851562302263 | Precipitation: 47.403586005331476 | Temperature: 27.571273780089175 | Evapotranspiration: 20.52107282731014 | Pumping_Rate: 107.23720745220189 | Land_Use: Agricultural
Month: 27 | Well_ID: 1 | Groundwater_Level: 9.353333549407315 | Precipitation: 50.87622943958219 | Temperature: 27.86028720857072 | Evapotranspiration: 21.656769545084178 | Pumping_Rate: 102.53515437078588 | Land_Use: Agricultural
Month: 28 | Well_ID: 1 | Groundwater_Level: 12.307542430467185 | Precipitation: 47.05995996743023 | Temperature: 24.689044915003446 | Evapotranspiration: 37.640297815728594 | Pumping_Rate: 123.93983648836709 | Land_Use: Urban
Month: 29 | Well_ID: 1 | Groundwater_Level: 10.24489438363904 | Precipitation: 69.27758233589819 | Temperature: 30.621766799352514 | Evapotranspiration: 14.57198484790354 | Pumping_Rate: 127.70525848142105 | Land_Use: Urban
Month: 30 | Well_ID: 1 | Groundwater_Level: 10.742772584617118 | Precipitation: 94.21046003182703 | Temperature: 23.329613845100297 | Evapotranspiration: 23.67244970114961 | Pumping_Rate: 68.48130034516596 | Land_Use: Agricultural
Month: 31 | Well_ID: 1 | Groundwater_Level: 9.993531063749119 | Precipitation: 38.85016429984333 | Temperature: 27.823029629468003 | Evapotranspiration: 35.96441137581753 | Pumping_Rate: 126.06317501772313 | Land_Use: Natural
Month: 32 | Well_ID: 1 | Groundwater_Level: 14.763977557254773 | Precipitation: 22.60394040841844 | Temperature: 19.901678306539424 | Evapotranspiration: 23.65714152310597 | Pumping_Rate: 64.40990718670437 | Land_Use: Natural
Month: 33 | Well_ID: 1 | Groundwater_Level: 10.887550803795756 | Precipitation: 48.2343590329749 | Temperature: 24.88223924562881 | Evapotranspiration: 27.640300127890285 | Pumping_Rate: 117.63567664413205 | Land_Use: Agricultural
Month: 34 | Well_ID: 1 | Groundwater_Level: 8.647900126192864 | Precipitation: 101.59418675308636 | Temperature: 24.12822871048582 | Evapotranspiration: 37.44185710315035 | Pumping_Rate: 118.59216354108607 | Land_Use: Agricultural
Month: 35 | Well_ID: 1 | Groundwater_Level: 12.251890758942091 | Precipitation: 33.926508640605384 | Temperature: 26.126539610204706 | Evapotranspiration: 34.21546083536561 | Pumping_Rate: 42.66049325012488 | Land_Use: Urban
Month: 36 | Well_ID: 1 | Groundwater_Level: 8.004381128077052 | Precipitation: 82.78233610888135 | Temperature: 23.152365355833208 | Evapotranspiration: 32.66818396295402 | Pumping_Rate: 102.78937739588228 | Land_Use: Urban
Month: 37 | Well_ID: 1 | Groundwater_Level: 10.699967206129246 | Precipitation: 83.55401628152882 | Temperature: 24.34263702164166 | Evapotranspiration: 26.60877720729961 | Pumping_Rate: 85.94511659919053 | Land_Use: Natural
Month: 38 | Well_ID: 1 | Groundwater_Level: 6.197112490345675 | Precipitation: 38.92823516584011 | Temperature: 29.13023585720753 | Evapotranspiration: 33.700611152689554 | Pumping_Rate: 77.23704226193875 | Land_Use: Agricultural
Month: 39 | Well_ID: 1 | Groundwater_Level: 7.2934851306128 | Precipitation: 61.379661583705506 | Temperature: 22.816178813808914 | Evapotranspiration: 28.762673199002432 | Pumping_Rate: 140.52556992097016 | Land_Use: Urban
Month: 40 | Well_ID: 1 | Groundwater_Level: 10.17733220267803 | Precipitation: 82.56793246257077 | Temperature: 16.967114496306603 | Evapotranspiration: 34.57805609925785 | Pumping_Rate: 80.38962578087744 | Land_Use: Natural
Month: 41 | Well_ID: 1 | Groundwater_Level: 11.09579723423985 | Precipitation: 42.41744518025026 | Temperature: 33.7479195210271 | Evapotranspiration: 25.03067974882022 | Pumping_Rate: 75.80869212645851 | Land_Use: Natural
Month: 42 | Well_ID: 1 | Groundwater_Level: 9.799500225855088 | Precipitation: 45.92839279795277 | Temperature: 31.907270393452432 | Evapotranspiration: 28.17431025620459 | Pumping_Rate: 102.2708482001528 | Land_Use: Natural
Month: 43 | Well_ID: 1 | Groundwater_Level: 9.06713697984428 | Precipitation: 38.366381721027125 | Temperature: 18.538686524471906 | Evapotranspiration: 20.100422074479862 | Pumping_Rate: 120.5676923889525 | Land_Use: Urban
Month: 44 | Well_ID: 1 | Groundwater_Level: 8.542765205075593 | Precipitation: 29.704865386142664 | Temperature: 28.448539026225973 | Evapotranspiration: 29.64992389993764 | Pumping_Rate: 95.75054241969619 | Land_Use: Urban
Month: 45 | Well_ID: 1 | Groundwater_Level: 6.0404019220884555 | Precipitation: 37.01444909867986 | Temperature: 22.485126147243285 | Evapotranspiration: 21.88999136371155 | Pumping_Rate: 134.99111637007758 | Land_Use: Agricultural
Month: 46 | Well_ID: 1 | Groundwater_Level: 7.417188945725895 | Precipitation: 25.52119466475487 | Temperature: 26.317436076655298 | Evapotranspiration: 18.85953549838007 | Pumping_Rate: 115.92926985892271 | Land_Use: Agricultural
Month: 47 | Well_ID: 1 | Groundwater_Level: 7.80296503904672 | Precipitation: 50.68166936518452 | Temperature: 26.47112064506747 | Evapotranspiration: 32.586611478553884 | Pumping_Rate: 34.65366040805709 | Land_Use: Natural
Month: 48 | Well_ID: 1 | Groundwater_Level: 10.714706552579893 | Precipitation: 34.60053537882717 | Temperature: 23.82796099841839 | Evapotranspiration: 32.127397758576606 | Pumping_Rate: 84.11599109478975 | Land_Use: Natural
Month: 49 | Well_ID: 1 | Groundwater_Level: 9.173631588521065 | Precipitation: 54.675718235814955 | Temperature: 21.081171672068017 | Evapotranspiration: 37.82873734948573 | Pumping_Rate: 83.14473701944904 | Land_Use: Urban
Month: 50 | Well_ID: 1 | Groundwater_Level: 4.8567526722378265 | Precipitation: 18.882087075927455 | Temperature: 21.547294738418703 | Evapotranspiration: 25.68874430424901 | Pumping_Rate: 114.38082860288266 | Land_Use: Urban
Month: 51 | Well_ID: 1 | Groundwater_Level: 8.93866272431191 | Precipitation: 56.617604644289145 | Temperature: 20.41904042259379 | Evapotranspiration: 34.08052846836756 | Pumping_Rate: 21.255488308776634 | Land_Use: Agricultural
Month: 52 | Well_ID: 1 | Groundwater_Level: 7.4398567227102 | Precipitation: 66.6705792321785 | Temperature: 20.840888958847778 | Evapotranspiration: 35.50797572273663 | Pumping_Rate: 176.47029126153168 | Land_Use: Agricultural
Month: 53 | Well_ID: 1 | Groundwater_Level: 6.788126996846558 | Precipitation: 10.12528714857089 | Temperature: 24.664108549753223 | Evapotranspiration: 34.44773807831595 | Pumping_Rate: 115.9307828468263 | Land_Use: Agricultural
Month: 54 | Well_ID: 1 | Groundwater_Level: 9.310168802966587 | Precipitation: 57.48113139695144 | Temperature: 21.421200054446242 | Evapotranspiration: 21.74346317197858 | Pumping_Rate: 104.46630411753074 | Land_Use: Urban
Month: 55 | Well_ID: 1 | Groundwater_Level: 10.106938809661708 | Precipitation: 74.55337984946584 | Temperature: 28.410260328563098 | Evapotranspiration: 31.49363482271189 | Pumping_Rate: 135.44703149257438 | Land_Use: Natural
Month: 56 | Well_ID: 1 | Groundwater_Level: 9.87919249434686 | Precipitation: 25.80717962617589 | Temperature: 32.436230776679636 | Evapotranspiration: 33.641402960546614 | Pumping_Rate: 170.30962158437873 | Land_Use: Agricultural
Month: 57 | Well_ID: 1 | Groundwater_Level: 6.323655119358867 | Precipitation: 83.45144773675406 | Temperature: 22.099733793149785 | Evapotranspiration: 30.07178466907942 | Pumping_Rate: 126.1223993376521 | Land_Use: Agricultural
Month: 58 | Well_ID: 1 | Groundwater_Level: 7.382989670346815 | Precipitation: 58.3803801873209 | Temperature: 26.197022502676884 | Evapotranspiration: 9.135223416289154 | Pumping_Rate: 128.4643928941486 | Land_Use: Urban
Month: 59 | Well_ID: 1 | Groundwater_Level: 8.677136577606824 | Precipitation: 35.89976288483182 | Temperature: 27.49842555151467 | Evapotranspiration: 31.6048962397348 | Pumping_Rate: 103.92070073393147 | Land_Use: Agricultural
Month: 60 | Well_ID: 1 | Groundwater_Level: 9.992674717339428 | Precipitation: 48.88461844684588 | Temperature: 27.360011354596374 | Evapotranspiration: 52.12531039397243 | Pumping_Rate: 95.75422739899155 | Land_Use: Natural
Month: 1 | Well_ID: 2 | Groundwater_Level: 7.1238029749831435 | Precipitation: 61.16653825043445 | Temperature: 25.379776339580438 | Evapotranspiration: 26.399607312430174 | Pumping_Rate: 85.72613667985297 | Land_Use: Urban
Month: 2 | Well_ID: 2 | Groundwater_Level: 7.764711172009472 | Precipitation: 51.52010782824823 | Temperature: 28.71341209179861 | Evapotranspiration: 22.71922902144679 | Pumping_Rate: 75.21664024856373 | Land_Use: Agricultural
Month: 3 | Well_ID: 2 | Groundwater_Level: 5.990173605026484 | Precipitation: 60.77511984892738 | Temperature: 27.411244763403285 | Evapotranspiration: 33.73348559711398 | Pumping_Rate: 79.38957700901508 | Land_Use: Agricultural
Month: 4 | Well_ID: 2 | Groundwater_Level: 5.889717764985474 | Precipitation: 31.586528138412675 | Temperature: 18.81168788836351 | Evapotranspiration: 33.123782104665715 | Pumping_Rate: 59.483321069710506 | Land_Use: Urban
Month: 5 | Well_ID: 2 | Groundwater_Level: 9.998392861653237 | Precipitation: 53.38721648072156 | Temperature: 29.345780321946364 | Evapotranspiration: 41.92735165416415 | Pumping_Rate: 97.7238564794493 | Land_Use: Urban
Month: 6 | Well_ID: 2 | Groundwater_Level: 11.188321183610284 | Precipitation: 21.725710061900397 | Temperature: 29.43645418633371 | Evapotranspiration: 17.42131844091112 | Pumping_Rate: 49.45997268320839 | Land_Use: Agricultural
Month: 7 | Well_ID: 2 | Groundwater_Level: 8.444899105698548 | Precipitation: 47.775478773025995 | Temperature: 21.183569479107092 | Evapotranspiration: 37.31380252574992 | Pumping_Rate: 105.72749572431132 | Land_Use: Natural
Month: 8 | Well_ID: 2 | Groundwater_Level: 10.718856868718184 | Precipitation: 31.921847170704204 | Temperature: 25.18968917723801 | Evapotranspiration: 35.904220612514635 | Pumping_Rate: 98.91008175872975 | Land_Use: Urban
Month: 9 | Well_ID: 2 | Groundwater_Level: 9.566875566606651 | Precipitation: 35.28940114820467 | Temperature: 28.416644964055347 | Evapotranspiration: 28.57853463059454 | Pumping_Rate: 104.40805895160064 | Land_Use: Natural
Month: 10 | Well_ID: 2 | Groundwater_Level: 7.693202335791234 | Precipitation: 74.72186350420874 | Temperature: 23.953430902103193 | Evapotranspiration: 33.3868731792169 | Pumping_Rate: 84.33605289940023 | Land_Use: Agricultural
Month: 11 | Well_ID: 2 | Groundwater_Level: 9.853126731766674 | Precipitation: 71.82620241188538 | Temperature: 30.36489023883006 | Evapotranspiration: 40.29457481598357 | Pumping_Rate: 192.3058111054151 | Land_Use: Natural
Month: 12 | Well_ID: 2 | Groundwater_Level: 12.359338171914038 | Precipitation: 62.18276241814354 | Temperature: 36.8193624730968 | Evapotranspiration: 38.7231538002845 | Pumping_Rate: 140.80347700540938 | Land_Use: Agricultural
Month: 13 | Well_ID: 2 | Groundwater_Level: 9.369516925382245 | Precipitation: 28.15374470654842 | Temperature: 21.070069836825088 | Evapotranspiration: 18.569806879262714 | Pumping_Rate: 62.66372499745832 | Land_Use: Agricultural
Month: 14 | Well_ID: 2 | Groundwater_Level: 12.732238805361888 | Precipitation: 43.671831006103965 | Temperature: 18.094776984231125 | Evapotranspiration: 38.20158186755484 | Pumping_Rate: 106.98604262280695 | Land_Use: Agricultural
Month: 15 | Well_ID: 2 | Groundwater_Level: 4.527999461700052 | Precipitation: 74.26195399958367 | Temperature: 26.51909297802438 | Evapotranspiration: 29.35311394967482 | Pumping_Rate: 81.7598157118803 | Land_Use: Agricultural
Month: 16 | Well_ID: 2 | Groundwater_Level: 11.577446575655335 | Precipitation: 52.83433827279809 | Temperature: 28.607812525630717 | Evapotranspiration: 30.728740980155145 | Pumping_Rate: 69.56560819877758 | Land_Use: Natural
Month: 17 | Well_ID: 2 | Groundwater_Level: 10.27434815624069 | Precipitation: 96.38659079963388 | Temperature: 23.845668130776154 | Evapotranspiration: 30.731969910016943 | Pumping_Rate: 59.79783786628195 | Land_Use: Agricultural
Month: 18 | Well_ID: 2 | Groundwater_Level: 9.668155966026655 | Precipitation: 57.86635678788744 | Temperature: 32.266303316605175 | Evapotranspiration: 28.497570112017407 | Pumping_Rate: 112.96650072277762 | Land_Use: Agricultural
Month: 19 | Well_ID: 2 | Groundwater_Level: 10.613761529246636 | Precipitation: 53.84098232980063 | Temperature: 18.306971001383758 | Evapotranspiration: 41.91707497107065 | Pumping_Rate: 79.55859294791279 | Land_Use: Natural
Month: 20 | Well_ID: 2 | Groundwater_Level: 6.616185407216536 | Precipitation: 43.81767071594997 | Temperature: 28.464593115158056 | Evapotranspiration: 29.16282040150788 | Pumping_Rate: 129.03478072075612 | Land_Use: Urban
Month: 21 | Well_ID: 2 | Groundwater_Level: 10.308958685467417 | Precipitation: 52.670818095645636 | Temperature: 21.970695896205534 | Evapotranspiration: 18.804538716168313 | Pumping_Rate: 129.81346643591317 | Land_Use: Natural
Month: 22 | Well_ID: 2 | Groundwater_Level: 11.614313290584727 | Precipitation: 46.95060327238913 | Temperature: 33.59688953103648 | Evapotranspiration: 26.064701440302713 | Pumping_Rate: 141.21743155634348 | Land_Use: Natural
Month: 23 | Well_ID: 2 | Groundwater_Level: 14.001414927742392 | Precipitation: 64.1621735337718 | Temperature: 34.962576765840595 | Evapotranspiration: 31.786947168104756 | Pumping_Rate: 74.42839701777689 | Land_Use: Natural
Month: 24 | Well_ID: 2 | Groundwater_Level: 10.14736799608943 | Precipitation: 69.13404633589168 | Temperature: 21.16671706108326 | Evapotranspiration: 42.29214784297051 | Pumping_Rate: 114.26096832076031 | Land_Use: Agricultural
Month: 25 | Well_ID: 2 | Groundwater_Level: 9.696985991651204 | Precipitation: 34.28021078984101 | Temperature: 22.2522143204571 | Evapotranspiration: 36.03094684948834 | Pumping_Rate: 118.97362649926903 | Land_Use: Agricultural
Month: 26 | Well_ID: 2 | Groundwater_Level: 10.431404340539645 | Precipitation: 23.375340928844437 | Temperature: 29.29793943489901 | Evapotranspiration: 21.49464721252956 | Pumping_Rate: 85.77465474688105 | Land_Use: Agricultural
Month: 27 | Well_ID: 2 | Groundwater_Level: 13.376708947361115 | Precipitation: 13.27589253793407 | Temperature: 23.064346751052426 | Evapotranspiration: 54.85189916678892 | Pumping_Rate: 76.84684127821374 | Land_Use: Urban
Month: 28 | Well_ID: 2 | Groundwater_Level: 12.30366397734238 | Precipitation: 60.159826538250876 | Temperature: 24.77294391033881 | Evapotranspiration: 32.6477531097798 | Pumping_Rate: 148.28561997327918 | Land_Use: Agricultural
Month: 29 | Well_ID: 2 | Groundwater_Level: 10.675473331703536 | Precipitation: 27.93266787652253 | Temperature: 25.12694210271205 | Evapotranspiration: 42.753907379990146 | Pumping_Rate: 106.82487627196161 | Land_Use: Urban
Month: 30 | Well_ID: 2 | Groundwater_Level: 12.838318989982229 | Precipitation: 6.942188140950343 | Temperature: 15.401634219011719 | Evapotranspiration: 28.48285566422771 | Pumping_Rate: 119.07903252135213 | Land_Use: Agricultural
Month: 31 | Well_ID: 2 | Groundwater_Level: 12.070155052245559 | Precipitation: 57.77157209061928 | Temperature: 24.930811269528814 | Evapotranspiration: 35.33359244705449 | Pumping_Rate: 75.33771964516218 | Land_Use: Natural
Month: 32 | Well_ID: 2 | Groundwater_Level: 13.864485524432101 | Precipitation: 99.85999034865581 | Temperature: 21.55136112967913 | Evapotranspiration: 38.39468504518405 | Pumping_Rate: 63.421466004334185 | Land_Use: Agricultural
Month: 33 | Well_ID: 2 | Groundwater_Level: 10.560909386218041 | Precipitation: 49.878581769202135 | Temperature: 22.53438588800114 | Evapotranspiration: 42.18194711754256 | Pumping_Rate: 82.91650676523669 | Land_Use: Urban
Month: 34 | Well_ID: 2 | Groundwater_Level: 11.333873265026817 | Precipitation: 66.76981548903284 | Temperature: 32.21816001734407 | Evapotranspiration: 40.57368305378225 | Pumping_Rate: 96.27935837830009 | Land_Use: Urban
Month: 35 | Well_ID: 2 | Groundwater_Level: 11.215357356564127 | Precipitation: 51.6365871709513 | Temperature: 18.717465528603718 | Evapotranspiration: 38.721970000729776 | Pumping_Rate: 68.07339979547953 | Land_Use: Agricultural
Month: 36 | Well_ID: 2 | Groundwater_Level: 9.069041976934379 | Precipitation: 48.02220693617715 | Temperature: 29.066025933739887 | Evapotranspiration: 26.849132688058912 | Pumping_Rate: 99.7046557404885 | Land_Use: Natural
Month: 37 | Well_ID: 2 | Groundwater_Level: 12.570957047375915 | Precipitation: 68.38152965975537 | Temperature: 23.605185348340957 | Evapotranspiration: 24.282539580439384 | Pumping_Rate: 49.344844357945 | Land_Use: Agricultural
Month: 38 | Well_ID: 2 | Groundwater_Level: 12.469738521073314 | Precipitation: 44.194509116226975 | Temperature: 23.601199157520828 | Evapotranspiration: 33.326075103241976 | Pumping_Rate: 66.39857732590383 | Land_Use: Agricultural
Month: 39 | Well_ID: 2 | Groundwater_Level: 11.913249004450925 | Precipitation: 55.34784628143806 | Temperature: 28.951859480258555 | Evapotranspiration: 39.33128072341069 | Pumping_Rate: 120.12733744830625 | Land_Use: Agricultural
Month: 40 | Well_ID: 2 | Groundwater_Level: 11.376034153728385 | Precipitation: 56.433956123920275 | Temperature: 26.70025647284445 | Evapotranspiration: 27.772792992233928 | Pumping_Rate: 118.11371560833682 | Land_Use: Natural
Month: 41 | Well_ID: 2 | Groundwater_Level: 8.943846732088561 | Precipitation: 36.63819092713902 | Temperature: 27.853064986097653 | Evapotranspiration: 40.651719657143865 | Pumping_Rate: 88.243697038394 | Land_Use: Urban
Month: 42 | Well_ID: 2 | Groundwater_Level: 10.85036096711168 | Precipitation: 69.84084699073045 | Temperature: 29.840923302664304 | Evapotranspiration: 44.52616745486179 | Pumping_Rate: 69.46707072769141 | Land_Use: Natural
Month: 43 | Well_ID: 2 | Groundwater_Level: 10.91154519219344 | Precipitation: 46.500804866091826 | Temperature: 23.343458084083387 | Evapotranspiration: 20.836790809265803 | Pumping_Rate: 69.17789345421967 | Land_Use: Urban
Month: 44 | Well_ID: 2 | Groundwater_Level: 9.886658617017693 | Precipitation: 34.885096810143104 | Temperature: 21.93881632746125 | Evapotranspiration: 21.6307929620372 | Pumping_Rate: 88.80195262176058 | Land_Use: Urban
Month: 45 | Well_ID: 2 | Groundwater_Level: 11.052531006894105 | Precipitation: 60.73019687140807 | Temperature: 19.574247367211008 | Evapotranspiration: 28.596249410946637 | Pumping_Rate: 119.33555474935874 | Land_Use: Urban
Month: 46 | Well_ID: 2 | Groundwater_Level: 12.057549621137461 | Precipitation: 32.030640364179256 | Temperature: 20.872947350105225 | Evapotranspiration: 33.076126681891964 | Pumping_Rate: 127.84737074032974 | Land_Use: Natural
Month: 47 | Well_ID: 2 | Groundwater_Level: 14.887493485720519 | Precipitation: 50.563623147382565 | Temperature: 39.745472126543625 | Evapotranspiration: 24.75432986232949 | Pumping_Rate: 85.10404793554093 | Land_Use: Agricultural
Month: 48 | Well_ID: 2 | Groundwater_Level: 11.322211664562454 | Precipitation: 49.81762006711593 | Temperature: 31.223397903683935 | Evapotranspiration: 43.52202678867145 | Pumping_Rate: 65.39522722045649 | Land_Use: Agricultural
Month: 49 | Well_ID: 2 | Groundwater_Level: 11.33933775192904 | Precipitation: 71.71791131663156 | Temperature: 18.244628168959892 | Evapotranspiration: 34.24066861518451 | Pumping_Rate: 108.03530913599 | Land_Use: Agricultural
Month: 50 | Well_ID: 2 | Groundwater_Level: 10.520805514342193 | Precipitation: 59.49396465759906 | Temperature: 18.387710216282148 | Evapotranspiration: 30.394470482407396 | Pumping_Rate: 75.29395088122452 | Land_Use: Agricultural
Month: 51 | Well_ID: 2 | Groundwater_Level: 6.672967305394953 | Precipitation: 49.499460825097124 | Temperature: 27.40933030859246 | Evapotranspiration: 15.640904761314726 | Pumping_Rate: 84.45242083416393 | Land_Use: Agricultural
Month: 52 | Well_ID: 2 | Groundwater_Level: 10.294751219862434 | Precipitation: 66.35532598400574 | Temperature: 27.736323986889833 | Evapotranspiration: 16.84184183572493 | Pumping_Rate: 139.75828271311113 | Land_Use: Natural
Month: 53 | Well_ID: 2 | Groundwater_Level: 10.30309489099155 | Precipitation: 77.80415098034626 | Temperature: 27.74441917658682 | Evapotranspiration: 32.810092502818065 | Pumping_Rate: 124.81346285697305 | Land_Use: Natural
Month: 54 | Well_ID: 2 | Groundwater_Level: 14.942706635287545 | Precipitation: 61.156206127037244 | Temperature: 23.72522103223151 | Evapotranspiration: 8.674043738451637 | Pumping_Rate: 104.73922936754354 | Land_Use: Natural
Month: 55 | Well_ID: 2 | Groundwater_Level: 9.464975829514136 | Precipitation: 50.20705239686761 | Temperature: 24.372728699985498 | Evapotranspiration: 40.12637409644072 | Pumping_Rate: 61.84242996661831 | Land_Use: Natural
Month: 56 | Well_ID: 2 | Groundwater_Level: 10.287310954173792 | Precipitation: 23.763275352996807 | Temperature: 26.639397620796785 | Evapotranspiration: 28.418461556276796 | Pumping_Rate: 106.34189702411977 | Land_Use: Natural
Month: 57 | Well_ID: 2 | Groundwater_Level: 9.451502914328882 | Precipitation: 28.69772673849255 | Temperature: 25.429465031466652 | Evapotranspiration: 62.43092969594733 | Pumping_Rate: 131.87971872362579 | Land_Use: Natural
Month: 58 | Well_ID: 2 | Groundwater_Level: 7.023605537516389 | Precipitation: 43.89550591290665 | Temperature: 13.903498136262325 | Evapotranspiration: 53.079162506161104 | Pumping_Rate: 88.73099002703393 | Land_Use: Natural
Month: 59 | Well_ID: 2 | Groundwater_Level: 11.491077599822116 | Precipitation: 37.809755956814335 | Temperature: 23.85100184712403 | Evapotranspiration: 28.185509307524832 | Pumping_Rate: 140.53342269960146 | Land_Use: Agricultural
